depid,script,deployid,recordtype,isdeployed,status
2012,1954,customdeploy_ste_mr_item_tax_rules_sav_c,,T,NOTSCHEDULED
2011,1954,customdeploy_ste_mr_item_tax_rules_sav_b,,T,NOTSCHEDULED
2015,1954,customdeploy_ste_mr_item_tax_rules_sav_f,,T,NOTSCHEDULED
2009,1954,customdeploy_ste_mr_item_tax_rules_save,,T,NOTSCHEDULED
2019,1955,customdeploy_ste_mr_taxschedule_itemsave,,T,NOTSCHEDULED
2020,1956,customdeploy_ste_mr_exempt_allitems_save,,T,NOTSCHEDULED
2021,1957,customdeploy_ste_mr_create_records,,T,NOTSCHEDULED
2022,1958,customdeploy_ste_mr_confirmation_email,,T,NOTSCHEDULED
2023,1959,customdeploy_ste_mr_item_tax_exempt_save,,T,NOTSCHEDULED
2024,1960,customdeploy_ste_data_update,,T,NOTSCHEDULED
2027,1961,customdeploy_ste_data_provisioning,,T,NOTSCHEDULED
2025,1961,customdeploy_ste_data_provisioning3,,T,NOTSCHEDULED
2026,1961,customdeploy_ste_data_provisioning2,,T,NOTSCHEDULED
2032,1962,customdeploy_ste_mr_exempt_items_save_d,,T,NOTSCHEDULED
2033,1962,customdeploy_ste_mr_exempt_items_save_e,,T,NOTSCHEDULED
2034,1962,customdeploy_ste_mr_exempt_items_save_f,,T,NOTSCHEDULED
2035,1962,customdeploy_ste_mr_exempt_items_save_g,,T,NOTSCHEDULED
2028,1962,customdeploy_ste_mr_exempt_items_save,,T,NOTSCHEDULED
2037,1962,customdeploy_ste_mr_exempt_items_save_i,,T,NOTSCHEDULED
2029,1962,customdeploy_ste_mr_exempt_items_save_a,,T,NOTSCHEDULED
2030,1962,customdeploy_ste_mr_exempt_items_save_b,,T,NOTSCHEDULED
2031,1962,customdeploy_ste_mr_exempt_items_save_c,,T,NOTSCHEDULED
2036,1962,customdeploy_ste_mr_exempt_items_save_h,,T,NOTSCHEDULED
2039,1963,customdeploy_ste_cs_customer,CUSTOMER,T,RELEASED
2038,1963,customdeploy_ste_cs_vendor,VENDOR,T,RELEASED
2040,1964,customdeploy_ste_cs_oss_setup,CUSTOMRECORD_STE_OSS_SETUP,T,RELEASED
2041,1965,customdeploy_ste_cs_rol_perm_detail,CUSTOMRECORD_STE_ROLES_PERMISSIONS,T,RELEASED
3345,1966,customdeploy_ste_cs_transaction_credcard,CREDITCARDCHARGE,T,RELEASED
3348,1966,customdeploy_ste_cs_transaction_retauth,RETURNAUTHORIZATION,T,RELEASED
3335,1966,customdeploy_ste_cs_transaction_cashsale,CASHSALE,T,RELEASED
3336,1966,customdeploy_ste_cs_transaction_custcred,CREDITMEMO,T,RELEASED
3343,1966,customdeploy_ste_cs_transaction_vendbill,VENDORBILL,T,RELEASED
